City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,ondangwa,-17.9167,15.95,23.21,55,87,3.33,NA,1679447730
241,odweyne,9.4092,45.064,22.63,71,13,2.46,SO,1679447731
242,zeya,53.75,127.2667,-7.74,76,100,4.12,RU,1679447731
243,weiz,47.2167,15.6167,7.24,74,23,0.45,AT,1679447732
244,cidreira,-30.1811,-50.2056,23.67,77,100,3.35,BR,1679447481
245,dilla,6.41,38.31,16.01,77,7,1.66,ET,1679447732
246,ondjiva,-17.0667,15.7333,20.27,71,80,2.25,AO,1679447733
247,staryy nadym,65.6118,72.6842,-2.24,95,100,3.47,RU,1679447733
248,saskylakh,71.9167,114.0833,-25.24,95,98,4.77,RU,1679447734
249,sassandra,4.95,-6.0833,25.12,92,16,2.43,CI,1679447734
250,cranbrook,49.4999,-115.7688,3.04,89,29,0.47,CA,1679447710
251,carutapera,-1.195,-46.02,23.71,91,100,1.14,BR,1679447735
252,manzanillo,20.3433,-77.1167,24.18,83,22,4.63,CU,1679447705
253,concepcion del uruguay,-32.4825,-58.2372,16.09,88,6,6.37,AR,1679447736
254,rawson,-43.3002,-65.1023,18.74,52,0,9.91,AR,1679447736
255,honningsvag,70.9821,25.9704,-6.14,53,100,3.6,NO,1679447737
256,letlhakane,-21.4167,25.5833,19.58,47,100,4.54,BW,1679447566
257,atbasar,51.8,68.3333,-15.12,90,12,1.32,KZ,1679447738
258,baykit,61.67,96.37,-20.96,100,100,1.14,RU,1679447738
259,maniitsoq,65.4167,-52.9,-12.88,91,72,3.9,GL,1679447739
260,vilhena,-12.7406,-60.1458,19.42,99,100,1.23,BR,1679447739
261,san pedro,14.35,121.0167,28.57,66,20,3.09,PH,1679447740
262,lucea,18.451,-78.1736,24.36,81,3,4.73,JM,1679447740
263,bokoro,12.3807,17.0568,28.58,37,99,2.54,TD,1679447740
264,matara,5.9485,80.5353,24.04,89,100,1.59,LK,1679447741
265,faanui,-16.4833,-151.75,28.25,74,17,5.86,PF,1679447741
266,puerto el triunfo,13.2833,-88.55,28.89,66,86,1.88,SV,1679447742
267,zhigansk,66.7697,123.3711,-30.81,98,97,7.16,RU,1679447742
268,imeni poliny osipenko,52.4201,136.4853,-5.01,93,100,6.55,RU,1679447743
269,kalmunai,7.4167,81.8167,25.45,83,98,1.73,LK,1679447743
270,ixtapa,20.7,-105.2,25.57,73,0,4.12,MX,1679447744
271,aranos,-24.1333,19.1167,21.23,54,37,2.97,NA,1679447744
272,bushenyi,-0.5853,30.2114,14.5,91,100,0.78,UG,1679447745
273,vila velha,-20.3297,-40.2925,26.08,90,0,3.09,BR,1679447616
274,camp verde,34.5636,-111.8543,11.08,95,100,4.81,US,1679447746
275,houma,29.5958,-90.7195,17.22,77,0,3.6,US,1679447746
276,bhuj,23.2667,69.6667,22.21,77,0,2.35,IN,1679447747
277,wenzhou,27.9994,120.6668,17.7,93,100,1.09,CN,1679447471
278,shelburne,44.0787,-80.2041,-0.94,85,100,2.25,CA,1679447747
279,kuminskiy,58.6667,66.5667,1.28,96,100,4.24,RU,1679447749
280,ambon,-3.6954,128.1814,29.08,74,20,2.06,ID,1679447672
281,rupert,42.6191,-113.6772,4.54,70,0,8.23,US,1679447749
282,sur,22.5667,59.5289,25.72,66,0,5.5,OM,1679447750
283,havoysund,70.9963,24.6622,-5.87,73,100,5.58,NO,1679447750
284,qaqortoq,60.7167,-46.0333,-4.76,60,37,5.22,GL,1679447751
285,agadez,19.75,10.25,22.72,16,0,5.6,NE,1679447751
286,punta cardon,11.6581,-70.215,25.12,79,18,11.82,VE,1679447752
287,codrington,-38.2667,141.9667,21.25,55,0,2.38,AU,1679447752
288,talara,-4.5772,-81.2719,27.42,74,0,4.63,PE,1679447752
